,n_track,set_section,artist,track,set_name,song_id,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instruentalness,mode,na
504,4,1,Hypnotic Brass Ensemble,What It Is,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",7q82QhlyfRn0UigBu2k3jD,BAD BOYS OF JAZZ,4.511616666666667,171.708,0.912,0.56,0.696,9,4,0.327,0,0,False
505,5,1,Seven Davis Jr,Try Me (I'll Funk You),"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",2liVLb6JF20TmiuflkWkVq,Try Me (I’ll Funk You),3.7935166666666666,135.124,0.833,0.708,0.148,7,4,0.157,4.77e-06,0,False
506,6,1,Monte Booker Feat. Ravyn Lenae,Baby,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",0IdUPpU9HwiWBHgiwGB8Xn,Walton: Belshazzar's Feast / Crown Imperial,4.45555,150.353,0.245,0.312,0.105,2,5,0.968,0.0107,1,False
507,7,1,Session Victim,Crystal Maze,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",5dJRyGT1eftJYYttOs6EmU,See You When You Get There,2.9036,112.98,0.273,0.727,0.394,2,4,0.00457,0.947,1,False
508,8,1,Kemback,Awaken,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",5WZD4aZbU5KwGPzEs9Zu6A,Maximum Joy Part 2,5.737633333333333,114.0,0.87,0.805,0.851,6,4,0.000394,0.755,1,False
509,9,1,Rival Consoles,Pre,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",3Aqgw7pHBe0TSQP2FJYCWy,Howl,5.2477,110.999,0.684,0.569,0.0753,4,4,0.136,0.733,0,False
510,10,1,George FitzGerald Feat. Boxed In Remix),Full Circle (Bonobo,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",,,,,,,,,,,,,True
511,11,1,Henry Wu,Dubplate Special,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",,,,,,,,,,,,,True
512,12,1,Roman Flügel,Teenage Engineering,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",4nR1aoJfzu4iBpI6Uk5F2u,Monday Brain,7.3822,119.997,0.532,0.685,0.437,7,4,0.00206,0.932,1,False
513,13,1,DJ Richard,Vampire Dub,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",2zmXD9fxaMrPYVJrnEVeAQ,Grind,8.088133333333333,120.002,0.464,0.503,0.121,1,4,0.303,0.918,0,False
514,14,1,Chrome Sparks,Moonraker,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",5arnfvbhWPuE4EE8jzoket,Moonraker,6.0713,118.95,0.734,0.428,0.197,1,4,0.225,0.554,0,False
515,15,1,Kiasmos,Drawn,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",2xbJaVQRJLmf42DrUdTqDq,Swept EP,4.348966666666667,119.994,0.615,0.725,0.572,10,4,0.0674,0.914,0,False
516,16,1,Auntie Flo Feat. Anbuley,Su La,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",4l3RmgzJMO6vdYL5bcMTqN,Theory of Flo,6.243766666666667,120.204,0.64,0.715,0.0773,5,4,0.442,0.793,0,False
517,17,1,TCB,2nd Touch (Roman Flügel Remix),"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",,,,,,,,,,,,,True
518,18,1,Frankey & Sandrino,Acamar,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",2o9fz1ALwGI65oMzueYMUI,Acamar EP,8.342483333333334,119.992,0.739,0.777,0.202,9,4,0.00212,0.868,1,False
